2025-05-15 19:16:01 | 5 / 4 = 1.25
2025-05-15 19:16:17 | 5*2 = 10.0
2025-05-15 20:04:45 | cos(1) = 0.9998476951563913
2025-05-15 20:05:09 | cos(100) = -0.1736481776669303
2025-05-15 20:05:21 | sin(194) = -0.2419218955996675
2025-05-15 20:05:36 | 1 + 2 * 5 / 10 = 2.0
2025-05-16 21:51:18 | ln(e) = 1.0
2025-05-16 21:52:08 | sqrt(25) = 5.0
2025-05-19 12:11:21 | sin(30) = 0.49999999999999994
2025-05-19 12:12:37 | cos(60) = 0.5000000000000001
2025-05-19 12:14:08 | 2^3 = 8.0
2025-05-19 12:16:25 | (10 - 2) / 2 = 4.0
2025-05-19 12:16:40 | 2 + 2 * 4 = 10.0
2025-05-19 12:19:18 | 2^3 = 8.0
2025-05-19 12:21:44 | ln(e) = 1.0
2025-05-19 20:03:32 |  cos(80) = 0.17364817766693041
2025-05-19 20:27:20 | log(10) = 1.0
2025-05-19 20:27:30 | log(100) = 2.0
